glyph_index	text_code	char
0x0400	0x0200	가
0x0401	0x0201	각
0x0402	0x0202	간
0x0403	0x0203	갇
0x0404	0x0204	갈
0x0405	0x0205	갉
0x0406	0x0206	갊
0x0407	0x0207	감
0x0408	0x0208	갑
0x0409	0x0209	값
0x040a	0x020a	갓
0x040b	0x020b	갔
0x040c	0x020c	강
0x040d	0x020d	갖
0x040e	0x020e	갗
0x040f	0x020f	같
0x0410	0x0210	갚
0x0411	0x0211	갛
0x0412	0x0212	개
0x0413	0x0213	객
0x0414	0x0214	갠
0x0415	0x0215	갤
0x0416	0x0216	갬
0x0417	0x0217	갭
0x0418	0x0218	갯
0x0419	0x0219	갰
0x041a	0x021a	갱
0x041b	0x021b	갸
0x041c	0x021c	갹
0x041d	0x021d	갼
0x041e	0x021e	걀
0x041f	0x021f	걋
0x0420	0x0220	걍
0x0421	0x0221	걔
0x0422	0x0222	걘
0x0423	0x0223	걜
0x0424	0x0224	거
0x0425	0x0225	걱
0x0426	0x0226	건
0x0427	0x0227	걷
0x0428	0x0228	걸
0x0429	0x0229	걺
0x042a	0x022a	검
0x042b	0x022b	겁
0x042c	0x022c	것
0x042d	0x022d	겄
0x042e	0x022e	겅
0x042f	0x022f	겆
0x0430	0x0230	겉
0x0431	0x0231	겊
0x0432	0x0232	겋
0x0433	0x0233	게
0x0434	0x0234	겐
0x0435	0x0235	겔
0x0436	0x0236	겜
0x0437	0x0237	겝
0x0438	0x0238	겟
0x0439	0x0239	겠
0x043a	0x023a	겡
0x043b	0x023b	겨
0x043c	0x023c	격
0x043d	0x023d	겪
0x043e	0x023e	견
0x043f	0x023f	겯
0x0440	0x0240	결
0x0441	0x0241	겸
0x0442	0x0242	겹
0x0443	0x0243	겻
0x0444	0x0244	겼
0x0445	0x0245	경
0x0446	0x0246	곁
0x0447	0x0247	계
0x0448	0x0248	곈
0x0449	0x0249	곌
0x044a	0x024a	곕
0x044b	0x024b	곗
0x044c	0x024c	고
0x044d	0x024d	곡
0x044e	0x024e	곤
0x044f	0x024f	곧
0x0450	0x0250	골
0x0451	0x0251	곪
0x0452	0x0252	곬
0x0453	0x0253	곯
0x0454	0x0254	곰
0x0455	0x0255	곱
0x0456	0x0256	곳
0x0457	0x0257	공
0x0458	0x0258	곶
0x0459	0x0259	과
0x045a	0x025a	곽
0x045b	0x025b	관
0x045c	0x025c	괄
0x045d	0x025d	괆
0x045e	0x025e	괌
0x045f	0x025f	괍
0x0460	0x0260	괏
0x0461	0x0261	광
0x0462	0x0262	괘
0x0463	0x0263	괜
0x0464	0x0264	괠
0x0465	0x0265	괩
0x0466	0x0266	괬
0x0467	0x0267	괭
0x0468	0x0268	괴
0x0469	0x0269	괵
0x046a	0x026a	괸
0x046b	0x026b	괼
0x046c	0x026c	굄
0x046d	0x026d	굅
0x046e	0x026e	굇
0x046f	0x026f	굉
0x0470	0x0270	교
0x0471	0x0271	굔
0x0472	0x0272	굘
0x0473	0x0273	굡
0x0474	0x0274	굣
0x0475	0x0275	구
0x0476	0x0276	국
0x0477	0x0277	군
0x0478	0x0278	굳
0x0479	0x0279	굴
0x047a	0x027a	굵
0x047b	0x027b	굶
0x047c	0x027c	굻
0x047d	0x027d	굼
0x047e	0x027e	굽
0x047f	0x027f	굿
0x0480	0x0280	궁
0x0481	0x0281	궂
0x0482	0x0282	궈
0x0483	0x0283	궉
0x0484	0x0284	권
0x0485	0x0285	궐
0x0486	0x0286	궜
0x0487	0x0287	궝
0x0488	0x0288	궤
0x0489	0x0289	궷
0x048a	0x028a	귀
0x048b	0x028b	귁
0x048c	0x028c	귄
0x048d	0x028d	귈
0x048e	0x028e	귐
0x048f	0x028f	귑
0x0490	0x0290	귓
0x0491	0x0291	규
