base	index	text
0x00000	0	0|1|2|3|4|5|6|7|8|9
0x00000	1	 移    動
0x00000	2	 攻    撃
0x00000	3	 道    具
0x00000	4	 説    得
0x00000	5	 能    力
0x00000	6	アンテナ
0x00000	7	 待    機
0x00000	8	 消    火
0x00000	9	 救    助
0x00000	10	 調    査
0x00000	16	能    力
0x00000	17	装傭妖怪
0x00000	18	武器<87>技
0x00000	19	装傭アイテム
0x00000	22	勝利条件
0x00000	23	敗北条件
0x00000	24	サウンド<g400> 
0x00000	25	音声<g400><g400><g400><g400><g400> 
0x00000	26	振動<g400><g400><g400><g400><g400> 
0x00000	27	戦闘アニメ<g400><g400> 
0x00000	28	スクエア表示<g400> 
0x00000	29	会話スキップ<g400> 
0x00000	30	画面の調整
0x00000	32	ターン目
0x00000	33	高さ
0x00000	36	経験値 
0x00000	37	を手に入れた
0x00000	38	は
0x00000	39	レベル
0x00000	40	になった
0x00000	48	傘中聿
0x00000	49	反撃選択
0x00000	50	攻撃開始
0x00000	51	回騫
0x00000	52	防御
0x00000	53	霊力
0x00000	56	/
0x00000	57	ステレオ
0x00000	58	モノラル
0x00000	59	あり
0x00000	60	なし
0x00000	61	この会話をスキップしますか?|<g400><g400><g400><g400><g400>はい/いいえ
0x00000	64	戦闘開始
0x00000	65	攻撃選択
0x00000	66	  回  騫  
0x00000	67	  防  御  
0x00000	68	アニメあり
0x00000	69	アニメなし
0x00000	72	操作可能
0x00000	73	積極的に
0x00000	74	効聿よく
0x00000	75	反撃しない
0x00000	76	必ず防御
0x00000	80	体力順
0x00000	81	霊力順
0x00000	82	LV順
0x00000	83	種類順
0x00000	84	属性順
0x00000	85	50音順
0x00000	88	反撃行動を自分で選択します。
0x00000	89	敵の攻撃によって体力が0になってしまう可能性の|あるキャラクター以外は反撃を行います。|体力が0になる場合は、回騫か防御を行います。
0x00000	90	自分よりレベルの高いキャラクターに対してのみ|反撃を行います。|体力が0になる場合は、回騫か防御を行います。
0x00000	91	反撃を一切行わず回騫出来る確聿があれば回騫を|行ない、低い場合には防御を行います。
0x00000	92	反撃を一切行わず、必ず防御を行います。
0x00000	96	フェイズを終了して|よろしいですか?
0x00000	97	未行動のキャラクターが
0x00000	98	人います。|フェイズを終了してよろしいですか?
0x00000	100	はい|いいえ
0x00000	104	フェイズ終了
0x00000	105	仲間表
0x00000	106	反撃傘令
0x00000	107	作戦目的
0x00000	108	妖怪携帯電話
0x00000	109	全体MAP
0x00000	110	設定
0x00000	111	記録
0x00000	112	中央病院
0x00000	120	サウンドのステレオ/モノラル|を切り替えます。
0x00000	121	音声再生のあり/なしを切り替|えます。
0x00000	122	振動機能のあり/なしを切り替|えます。
0x00000	123	戦闘アニメのあり/なしを切り|替えます。
0x00000	124	マップ上のスクエア表示のあり|/なしを切り替えます。
0x00000	125	会話スキップのあり/なしを切|り替えます。
0x00000	126	画面のコントラスト調整を行え|ます。
0x00000	127	階
0x00000	128	LV
0x00000	129	妖気
0x00000	130	体力
0x00000	131	霊力
0x00000	132	防御
0x00000	133	移動
0x00000	134	傘中
0x00000	135	回騫
0x00000	136	経験値
0x00000	137	次のLV
0x00000	138	<88>
0x00000	139	~
0x00000	140	(
0x00000	141	)
0x00000	142	/
0x00000	143	%
0x00000	145	Exp
0x00000	146	次のLVまで
0x00000	147	-
0x00000	148	攻撃
0x00000	149	+
0x00000	152	0
0x00000	153	この道具を鵬入しますか?    はい/いいえ
0x00000	154	この道具を売却しますか?    はい/いいえ
0x00000	155	装傭中のアイテムは売却できません。
0x00000	156	道具装傭|装傭妖怪|道具一覧
0x00000	157	    未登録
0x00000	158	装傭した道具を外す
0x00000	159	装傭されている道具を外します。
0x00000	160	攻撃
0x00000	161	射程
0x00000	162	攻撃力
0x00000	163	必要妖気
0x00000	164	消費霊力
0x00000	165	残弾数
0x00000	166	傘中補正
0x00000	167	反撃不可
0x00000	168	回騫
0x00000	169	防御
0x00000	170	霊力充鑰
0x00000	171	ボーナス金額
0x00000	172	人助けポイント獲得!
0x00000	173	獲得人助けポイント
0x00000	174	ボーナス経験値
0x00000	175	鸞計人助けポイント
0x00000	176	金額
0x00000	177	合計金額
0x00000	178	残りの所持金
0x00000	179	一
0x00000	180	治療する妖怪
0x00000	181	同一系統のアイテムは2つ以上装傭できません。
0x00000	182	技がありません。
0x00000	183	    能     力  
0x00000	184	   仲  間  表   
0x00000	185	 出  撃  選  択  
0x00000	190	画 面 コ ン ト ラ ス ト 調 整
0x00000	191	菷    間    画    面
0x00000	192	記     録
0x00000	193	能     力
0x00000	194	道     具
0x00000	195	設     定
0x00000	196	妖怪パソコン
0x00000	197	妖怪携帯電話
0x00000	198	お  ま  け
0x00000	199	次のお話へ
0x00000	200	現在の状態をセーブできます。セーブすると|その状態から再開できるようになります。
0x00000	201	仲間の能力を見ることができます。
